M,X,class,const_cls,med_w,scl,scl_pool,logprior,thr,n
In,Br,const,0,,,,,,171
In,C,const,0,,,,,,775
In,Cl,const,0,,,,,,415
In,F,const,0,,,,,,38
In,H,const,0,,,,,,16
In,I,const,0,,,,,,89
In,N,const,0,,,,,,747
In,O,const,0,,,,,,664
In,P,const,0,,,,,,131
In,S,const,0,,,,,,248
In,Se,const,0,,,,,,65
In,Te,const,0,,,,,,10
Ir,Br,const,0,,,,,,27
Ir,C,Double,,1.0981,0.2990,0.2771,-2.2347,,99
Ir,C,Single,,0.9155,0.2685,0.2771,-0.1144,,825
Ir,C,thr,,,,0.2771,,1.59671|inf,925
Ir,Cl,const,0,,,,,,654
Ir,F,const,0,,,,,,7
Ir,H,const,0,,,,,,304
Ir,I,const,0,,,,,,150
Ir,N,Single,,0.6087,0.1443,0.1443,-0.0154,,645
Ir,N,Triple,,1.9616,0.0495,0.1443,-4.6929,,6
Ir,N,thr,,,,0.1443,,1.80659|1.91644,655
Ir,O,const,0,,,,,,221
Ir,P,const,0,,,,,,703
Ir,S,const,0,,,,,,379
Ir,Se,const,0,,,,,,32
Ir,Si,const,0,,,,,,56
La,Cl,const,0,,,,,,67
La,H,const,0,,,,,,15
La,I,const,0,,,,,,14
La,N,const,0,,,,,,233
La,O,const,0,,,,,,976
La,S,const,0,,,,,,36
La,Se,const,0,,,,,,9
Mg,Br,const,0,,,,,,83
Mg,C,const,0,,,,,,74
Mg,Cl,const,0,,,,,,50
Mg,H,const,0,,,,,,24
Mg,I,const,0,,,,,,13
Mg,N,const,0,,,,,,251
Mg,O,const,0,,,,,,309
Mg,P,const,0,,,,,,6
Mg,S,const,0,,,,,,14
Mg,Se,const,0,,,,,,8
Mn,As,const,0,,,,,,37
Mn,Br,const,0,,,,,,187
Mn,C,Double,,1.2377,0.2424,0.1172,-3.6434,,81
Mn,C,Single,,1.3207,0.1139,0.1172,-0.0272,,3013
Mn,C,thr,,,,0.1172,,1.6596|inf,3096
Mn,Cl,const,0,,,,,,256
Mn,F,const,0,,,,,,20
Mn,H,const,0,,,,,,50
Mn,I,const,0,,,,,,27
Mn,N,Double,,2.0866,0.0369,0.1634,-3.7842,,20
Mn,N,Single,,0.6303,0.1683,0.1634,-0.0406,,845
Mn,N,Triple,,3.1392,0.0427,0.1634,-4.0719,,15
Mn,N,thr,,,,0.1634,,2.05205|2.58329,880
Mn,O,Double,,2.0418,0.0050,0.2164,-5.2893,,5
Mn,O,Single,,0.4632,0.2165,0.2164,-0.0061,,985
Mn,O,thr,,,,0.2164,,2.2107|2.2107,991
Mn,P,const,0,,,,,,354
Mn,S,Double,,0.9486,0.0130,0.0758,-4.1325,,6
Mn,S,Single,,0.5577,0.0769,0.0758,-0.0162,,368
Mn,S,thr,,,,0.0758,,inf|inf,374
Mn,Se,const,0,,,,,,60
Mn,Si,const,0,,,,,,7
Mn,Te,const,0,,,,,,22
Mo,As,const,0,,,,,,65
Mo,Br,const,0,,,,,,185
Mo,C,Double,,1.0872,0.4547,0.1448,-4.7536,,25
Mo,C,Single,,1.1188,0.1428,0.1448,-0.0199,,2843
Mo,C,Triple,,2.2264,0.5056,0.1448,-4.5067,,32
Mo,C,thr,,,,0.1448,,1.50804|1.50804,2900
Mo,Cl,const,0,,,,,,977
Mo,F,const,0,,,,,,23
Mo,H,const,0,,,,,,190
Mo,I,const,0,,,,,,116
Mo,N,Double,,1.9805,0.1394,0.2227,-2.7521,,77
Mo,N,Single,,0.5916,0.2183,0.2227,-0.1318,,1058
Mo,N,Triple,,2.3178,0.5967,0.2227,-2.8192,,72
Mo,N,thr,,,,0.2227,,1.92179|2.1503,1207
Mo,O,Double,,1.9806,0.0909,0.1860,-1.2133,,532
Mo,O,Single,,0.7130,0.3022,0.1860,-0.3551,,1255
Mo,O,thr,,,,0.1860,,1.65778|inf,1790
Mo,P,const,0,,,,,,1043
Mo,S,Double,,1.9015,0.1583,0.2238,-3.2452,,51
Mo,S,Single,,0.7258,0.2304,0.2238,-0.0405,,1257
Mo,S,thr,,,,0.2238,,1.33154|2.2337,1309
Mo,Se,const,0,,,,,,101
Mo,Si,const,0,,,,,,20
Mo,Te,const,0,,,,,,44
Nb,As,const,0,,,,,,12
Nb,Br,const,0,,,,,,51
Nb,C,Double,,1.4531,0.2569,0.1262,-3.2426,,5
Nb,C,Single,,0.8539,0.1224,0.1262,-0.0480,,122
Nb,C,thr,,,,0.1262,,1.27804|1.69108,128
Nb,Cl,const,0,,,,,,717
Nb,F,const,0,,,,,,129
Nb,H,const,0,,,,,,54
Nb,I,const,0,,,,,,22
Nb,N,Double,,2.0526,0.2319,0.2036,-1.8206,,57
Nb,N,Single,,0.5224,0.1966,0.2036,-0.1972,,289
Nb,N,Triple,,2.2470,0.0050,0.2036,-4.0719,,6
Nb,N,thr,,,,0.2036,,1.45053|inf,352
Nb,O,Double,,2.1547,0.1461,0.2526,-2.2246,,24
Nb,O,Single,,0.6445,0.2947,0.2526,-0.1144,,198
Nb,O,thr,,,,0.2526,,1.56576|inf,222
Nb,P,const,0,,,,,,107
Nb,S,Double,,1.6985,0.0798,0.3114,-2.7150,,19
Nb,S,Single,,0.6901,0.3163,0.3114,-0.0685,,268
Nb,S,thr,,,,0.3114,,1.6447|inf,287
Nb,Se,const,0,,,,,,21
Nb,Si,const,0,,,,,,13
Nb,Te,const,0,,,,,,5
Ni,As,const,0,,,,,,9
Ni,Br,const,0,,,,,,346
Ni,C,Double,,0.7621,0.0710,0.2091,-2.4108,,42
Ni,C,Single,,0.7578,0.2262,0.2091,-0.0940,,426
Ni,C,thr,,,,0.2091,,inf|inf,468
Ni,Cl,const,0,,,,,,531
Ni,F,const,0,,,,,,6
Ni,H,const,0,,,,,,29
Ni,I,const,0,,,,,,63
Ni,N,const,0,,,,,,2469
Ni,O,const,0,,,,,,1712
Ni,P,const,0,,,,,,537
Ni,S,const,0,,,,,,628
Ni,Se,const,0,,,,,,44
Ni,Si,const,0,,,,,,22
Os,As,const,0,,,,,,10
Os,Br,const,0,,,,,,129
Os,C,Double,,1.4350,0.4551,0.3143,-2.5917,,68
Os,C,Single,,1.1716,0.3097,0.3143,-0.0983,,823
Os,C,Triple,,2.1929,0.3530,0.3143,-3.9780,,17
Os,C,thr,,,,0.3143,,1.6651|1.84861,908
Os,Cl,const,0,,,,,,644
Os,F,const,0,,,,,,75
Os,H,const,0,,,,,,269
Os,I,const,0,,,,,,67
Os,N,Double,,1.5028,0.2820,0.1413,-3.1169,,33
Os,N,Single,,0.6267,0.1374,0.1413,-0.1076,,669
Os,N,Triple,,2.8195,0.1690,0.1413,-2.8522,,43
Os,N,thr,,,,0.1413,,1.0602|1.88943,745
Os,O,Double,,1.8178,0.0283,0.0830,-0.8670,,187
Os,O,Single,,0.5141,0.1698,0.0830,-0.5451,,258
Os,O,thr,,,,0.0830,,1.54259|inf,445
Os,P,const,0,,,,,,697
Os,S,const,0,,,,,,214
Os,Se,const,0,,,,,,16
Os,Si,const,0,,,,,,31
Pb,Br,const,0,,,,,,136
Pb,C,const,0,,,,,,247
Pb,Cl,const,0,,,,,,118
Pb,H,const,0,,,,,,5
Pb,I,const,0,,,,,,116
Pb,N,const,0,,,,,,668
Pb,O,const,0,,,,,,591
Pb,P,const,0,,,,,,6
Pb,S,const,0,,,,,,212
Pb,Se,const,0,,,,,,21
Pd,As,const,0,,,,,,9
Pd,Br,const,0,,,,,,143
Pd,C,Double,,0.7881,0.0945,0.1177,-2.0117,,42
Pd,C,Single,,0.8444,0.1208,0.1177,-0.1436,,272
Pd,C,thr,,,,0.1177,,inf|inf,314
Pd,Cl,const,0,,,,,,1078
Pd,I,const,0,,,,,,223
Pd,N,const,0,,,,,,342
Pd,O,const,0,,,,,,130
Pd,P,const,0,,,,,,525
Pd,S,const,0,,,,,,285
Pd,Si,const,0,,,,,,17
Pd,Te,const,0,,,,,,5
Pt,As,const,0,,,,,,11
Pt,Br,const,0,,,,,,171
Pt,C,Double,,0.9388,0.1291,0.0707,-2.8459,,37
Pt,C,Single,,0.9495,0.0679,0.0707,-0.0598,,600
Pt,C,thr,,,,0.0707,,inf|inf,637
Pt,Cl,const,0,,,,,,578
Pt,F,const,0,,,,,,10
Pt,H,const,0,,,,,,28
Pt,I,const,0,,,,,,232
Pt,N,const,0,,,,,,505
Pt,O,const,0,,,,,,147
Pt,P,const,0,,,,,,625
Pt,S,const,0,,,,,,350
Pt,Se,const,0,,,,,,44
Pt,Si,const,0,,,,,,37
Pt,Te,const,0,,,,,,22
Re,As,const,0,,,,,,32
Re,Br,const,0,,,,,,239
Re,C,Double,,0.8435,0.1279,0.1342,-4.4519,,43
Re,C,Single,,1.3316,0.1342,0.1342,-0.0197,,3617
Re,C,Triple,,2.5163,0.1349,0.1342,-4.8458,,29
Re,C,thr,,,,0.1342,,1.82319|1.82319,3689
Re,Cl,const,0,,,,,,1173
Re,H,const,0,,,,,,163
Re,I,const,0,,,,,,72
Re,N,Double,,2.0183,0.1918,0.1267,-3.3636,,56
Re,N,Single,,0.5674,0.1210,0.1267,-0.1555,,1385
Re,N,Triple,,3.0298,0.2443,0.1267,-2.2128,,177
Re,N,thr,,,,0.1267,,2.08782|2.0983,1618
Re,O,Double,,2.0671,0.0568,0.1498,-0.7886,,749
Re,O,Single,,0.5726,0.2523,0.1498,-0.6621,,850
Re,O,Triple,,2.2132,0.0713,0.1498,-3.5155,,49
Re,O,thr,,,,0.1498,,1.72594|inf,1648
Re,P,const,0,,,,,,853
Re,S,Double,,2.2245,0.1113,0.2091,-4.6835,,7
Re,S,Single,,0.6007,0.2114,0.2091,-0.0106,,749
Re,S,thr,,,,0.2091,,2.18964|2.4891,757
Re,Se,const,0,,,,,,62
Re,Si,const,0,,,,,,5
Re,Te,const,0,,,,,,7
Rh,As,const,0,,,,,,12
Rh,Br,const,0,,,,,,107
Rh,C,Double,,0.8781,0.1314,0.3883,-3.0053,,52
Rh,C,Single,,0.8731,0.4031,0.3883,-0.0518,,997
Rh,C,thr,,,,0.3883,,1.43735|1.6958,1050
Rh,Cl,const,0,,,,,,1211
Rh,H,const,0,,,,,,174
Rh,I,const,0,,,,,,148
Rh,N,const,0,,,,,,782
Rh,O,const,0,,,,,,1471
Rh,P,const,0,,,,,,955
Rh,S,const,0,,,,,,416
Rh,Se,const,0,,,,,,27
Rh,Si,const,0,,,,,,30
Rh,Te,const,0,,,,,,5
Ru,As,const,0,,,,,,35
Ru,Br,const,0,,,,,,120
Ru,C,Double,,1.5431,0.1480,0.2734,-2.0042,,326
Ru,C,Single,,1.2050,0.2864,0.2734,-0.1495,,2083
Ru,C,Triple,,2.3762,0.2919,0.2734,-5.4885,,10
Ru,C,thr,,,,0.2734,,1.53156|2.06066,2419
Ru,Cl,const,0,,,,,,1671
Ru,H,const,0,,,,,,447
Ru,I,const,0,,,,,,99
Ru,N,Double,,1.6769,0.1124,0.1070,-4.7753,,11
Ru,N,Single,,0.6383,0.1072,0.1070,-0.0147,,1285
Ru,N,Triple,,2.7450,0.0749,0.1070,-5.0938,,8
Ru,N,thr,,,,0.1070,,1.97629|1.97629,1304
