M,X,d_bond,w_veto,f1,n,n_pos
Sn,N,2.8120,0.150,0.9702,659,441
Re,Re,3.5860,0.200,0.9469,930,440
Cr,P,3.0720,0.200,0.9988,520,433
V,N,2.7510,0.000,0.9895,603,428
Ga,N,2.4860,0.000,0.9977,627,426
Y,C,2.9050,0.000,0.9952,3936,423
Rh,S,2.9140,0.000,0.9976,533,418
In,Cl,2.7680,0.000,1.0000,426,415
Mn,P,2.8210,0.150,0.9962,487,392
Zr,N,2.8810,0.000,0.9974,494,384
Ir,S,3.0620,0.000,0.9960,489,379
Mn,S,2.9880,0.250,0.9987,500,378
Zr,O,2.8520,0.000,0.9945,441,366
Pb,C,2.8260,0.000,0.9986,3369,361
Rh,B,2.7700,0.000,0.9929,827,354
Nb,N,2.9800,0.150,0.9986,475,353
Pt,S,2.7520,0.000,0.9972,468,352
Zn,C,2.4370,0.000,0.9899,7399,349
Ta,C,3.1880,0.150,0.9811,2639,348
Sn,Cl,3.1110,0.000,0.9986,392,346
Ni,Br,2.9460,0.000,1.0000,349,346
Ru,B,2.9850,0.000,0.9771,770,345
W,W,3.1900,0.250,0.9385,590,344
V,Cl,2.7010,0.000,1.0000,367,344
Pd,N,2.6020,0.000,0.9971,797,342
Hf,N,2.6950,0.000,0.9954,414,329
Zn,S,2.9080,0.000,0.9984,352,312
Mg,O,2.6370,0.000,0.9968,330,309
Ir,H,2.2860,0.000,0.9627,3432,304
Sn,S,2.9530,0.000,0.9883,367,298
B,P,2.1290,0.000,1.0000,443,298
Ti,F,2.8790,0.000,0.9983,340,297
Nb,S,3.1000,0.000,0.9983,339,297
Au,Au,3.0970,0.000,0.8560,354,288
Pd,S,2.5570,0.000,1.0000,402,287
Au,P,2.4070,0.000,0.9874,531,282
V,S,2.6350,0.000,1.0000,332,280
Al,H,2.0630,0.150,0.9891,4220,277
Ta,N,2.9140,0.150,0.9963,342,270
Os,H,2.6980,0.000,0.9832,2499,269
Mn,Mn,3.3010,0.000,0.7114,844,258
Mn,Cl,2.5070,0.000,1.0000,328,256
Cu,Br,2.8420,0.000,0.9901,276,255
Hf,Cl,2.6610,0.000,1.0000,261,252
Mg,N,2.4490,0.000,0.9920,326,251
In,S,2.8720,0.000,0.9960,256,248
Ga,O,2.4200,0.300,0.9979,270,244
Mg,C,2.5650,0.000,0.9726,1929,242
Re,Br,2.7280,0.000,0.9979,274,239
La,N,3.0870,0.000,0.9892,610,233
Pt,I,3.1560,0.000,0.9914,255,232
Ag,Br,3.1670,0.150,0.9933,230,226
Ti,S,3.2640,0.150,0.9781,323,225
Cu,P,2.5690,0.000,0.9933,296,225
Nb,O,2.9820,0.000,1.0000,307,223
Pd,I,2.8760,0.000,1.0000,227,223
Ir,O,2.7840,0.150,0.9910,800,221
Cu,S,2.8800,0.000,0.9434,344,220
Ni,Ni,2.8050,0.000,0.7222,974,218
Os,S,2.7280,0.000,0.9977,260,215
Pb,S,3.0120,0.000,0.9906,235,212
B,Cl,1.9590,0.000,1.0000,303,206
Ir,Ir,3.0320,0.200,0.8396,524,206
Ag,P,2.7310,0.000,1.0000,251,206
Cr,S,2.8190,0.000,1.0000,346,205
B,Br,2.1130,0.000,0.9975,331,202
Au,Cl,2.4760,0.000,1.0000,250,201
Ag,C,2.6550,0.000,0.9924,4179,199
Ag,Cl,2.9570,0.000,1.0000,200,197
Mo,H,1.8300,0.300,0.9628,6882,190
Mn,Br,2.8680,0.000,0.9973,226,187
Mo,Br,2.9420,0.000,1.0000,265,185
V,P,2.6110,0.000,1.0000,216,177
Rh,H,2.2960,0.150,0.9801,5559,174
Pt,Br,2.7390,0.000,1.0000,192,171
In,Br,2.8990,0.000,1.0000,177,171
Sn,Se,2.8690,0.000,1.0000,170,170
Hf,O,2.6920,0.000,1.0000,192,169
Ag,O,2.6560,0.000,0.9504,274,166
Zr,P,2.9440,0.250,0.9940,229,166
Ir,B,2.8490,0.000,0.9632,410,166
Re,H,2.5350,0.150,0.9814,3670,163
Zn,Br,2.8140,0.000,0.9969,163,160
Au,S,2.6220,0.000,0.9968,301,158
Mo,B,2.5980,0.000,0.9602,328,157
Ag,Ag,2.8340,0.000,0.8533,408,152
Ta,F,2.0190,0.000,1.0000,153,152
Zr,F,2.2480,0.000,1.0000,179,152
Cr,Cr,3.1740,0.200,0.7526,494,150
Ir,I,3.0400,0.000,1.0000,173,150
Ta,O,2.7400,0.000,1.0000,193,149
Rh,I,2.8750,0.000,0.9932,165,148
Pt,O,2.7470,0.000,0.9966,510,147
Sc,N,2.7360,0.000,1.0000,174,144
Pd,Br,2.6500,0.000,1.0000,151,143
Sc,O,2.7120,0.000,1.0000,152,141
Zr,H,2.8100,0.000,0.8839,6440,140
Pt,Pt,2.8430,0.300,0.8702,440,140
Ag,S,3.1080,0.000,0.9718,174,140
Pb,Br,3.2940,0.000,0.9963,136,136
Ta,P,3.3840,0.200,1.0000,173,134
In,P,2.9580,0.000,1.0000,194,134
Pd,O,2.3680,0.000,0.9883,350,130
Os,Br,2.6720,0.000,0.9961,149,129
Nb,F,2.4290,0.000,1.0000,160,129
Al,Br,2.4760,0.000,1.0000,150,128
Pd,Pd,3.0560,0.200,0.8387,504,126
Ti,P,2.8050,0.250,0.9921,233,126
Co,I,2.7080,0.000,0.9960,137,126
Fe,Br,2.4120,0.000,1.0000,175,126
La,C,2.9210,0.000,0.9304,1834,123
Ga,S,2.6750,0.000,0.9959,143,123
Pt,B,2.5470,0.150,0.9620,294,122
Fe,H,2.0630,0.150,0.9791,4544,120
Ru,Br,2.7550,0.000,0.9958,135,120
W,H,2.2260,0.250,0.9700,5253,118
Au,N,2.3720,0.000,0.9828,594,118
Pb,Cl,3.0660,0.000,1.0000,118,118
Al,I,2.7470,0.000,1.0000,137,117
Y,Cl,2.8180,0.000,1.0000,117,117
Zn,I,2.9490,0.000,1.0000,123,117
Mo,I,3.1800,0.000,1.0000,163,116
Pb,I,3.5770,0.000,0.9913,118,116
Os,Os,3.2980,0.000,0.9483,160,114
Co,Br,2.7240,0.000,1.0000,133,113
Nb,P,3.1380,0.200,0.9955,163,111
Ga,I,2.6030,0.000,1.0000,155,110
Rh,Br,2.7770,0.000,0.9953,129,107
W,Br,2.9150,0.000,1.0000,122,105
Ag,I,3.1360,0.000,0.9903,104,104
Os,B,3.0880,0.000,0.9612,186,101
Mo,Se,2.8520,0.000,1.0000,118,101
Sn,Sn,3.1720,0.000,0.9011,690,100
B,S,2.2160,0.000,1.0000,216,99
Ru,I,3.1100,0.200,1.0000,132,99
Fe,Se,2.3860,0.000,1.0000,150,95
Ta,S,3.1410,0.000,1.0000,106,92
Al,F,1.8840,0.000,0.9890,299,92
W,Se,2.9850,0.000,0.9944,109,90
In,I,3.1200,0.000,0.9944,97,89
Ce,Cl,2.8020,0.000,0.9943,90,88
Ga,P,2.8170,0.000,0.9827,129,86
Mg,Br,2.7500,0.000,0.9939,87,83
Al,P,2.7730,0.000,1.0000,156,81
Sc,Cl,2.6550,0.000,1.0000,85,79
Nb,Nb,3.5550,0.000,0.9367,112,76
W,F,2.5080,0.000,0.9865,155,75
Zr,S,3.0250,0.200,1.0000,89,75
Os,F,2.0010,0.000,0.9865,106,75
Cr,As,2.9880,0.000,0.9932,85,74
Al,Al,2.6640,0.000,0.6866,882,74
Re,I,3.0680,0.000,1.0000,87,72
V,H,2.3680,0.000,0.9275,2730,71
Co,H,1.7990,0.150,0.9197,2539,69
Mo,As,2.8120,0.000,0.9926,76,68
Al,S,2.5730,0.000,0.9851,70,68
Ti,Br,2.8480,0.000,0.9925,77,67
La,Cl,2.8530,0.000,1.0000,75,67
Os,I,2.9250,0.000,1.0000,84,67
Cr,B,2.5060,0.000,0.9130,177,66
Sn,Br,2.8260,0.000,1.0000,78,66
Hf,F,2.6860,0.000,1.0000,69,65
In,Se,3.0210,0.000,1.0000,73,65
Ni,I,2.7680,0.000,1.0000,65,63
Fe,I,2.6350,0.000,0.9919,90,62
Re,Se,2.8960,0.000,0.9919,82,62
B,Se,2.5980,0.000,1.0000,74,62
Mn,Se,2.9460,0.000,1.0000,82,61
Co,As,2.5150,0.000,0.9917,85,61
Cr,I,2.9210,0.000,1.0000,67,59
Ti,H,1.8570,0.000,0.8283,6349,58
W,B,2.9520,0.000,0.9831,207,58
Ru,Si,2.5760,0.000,0.9913,145,58
Ce,I,3.1710,0.000,1.0000,57,57
Ir,Si,2.5740,0.000,0.9910,73,56
Nb,H,2.0190,0.000,0.9615,1611,54
Cr,H,1.9920,0.200,0.8704,2459,53
Ru,Se,2.6360,0.000,0.9905,58,53
Fe,Si,2.3300,0.000,0.9905,162,52
Nb,Br,2.9590,0.000,1.0000,65,51
Pd,B,2.4980,0.000,1.0000,134,51
Mn,H,1.9240,0.300,0.9474,3137,50
