M,X,class,const_cls,med_w,scl,logprior,n
Ir,Br,const,0,,,,27
Ir,C,Double,,1.0981,0.2990,-2.2347,99
Ir,C,Single,,0.9155,0.2685,-0.1144,825
Ir,Cl,const,0,,,,654
Ir,F,const,0,,,,7
Ir,H,const,0,,,,304
Ir,I,const,0,,,,150
Ir,N,Single,,0.6087,0.1443,-0.0154,645
Ir,N,Triple,,1.9616,0.0495,-4.6929,6
Ir,O,const,0,,,,221
Ir,P,Single,,0.8506,0.1081,-0.0028,701
Ir,S,const,0,,,,379
Ir,Se,const,0,,,,32
Ir,Si,const,0,,,,56
La,Cl,const,0,,,,67
La,H,const,0,,,,15
La,I,const,0,,,,14
La,N,const,0,,,,233
La,O,const,0,,,,976
La,S,const,0,,,,36
La,Se,const,0,,,,9
Mg,Br,const,0,,,,83
Mg,C,const,0,,,,74
Mg,Cl,const,0,,,,50
Mg,H,const,0,,,,24
Mg,I,const,0,,,,13
Mg,N,const,0,,,,251
Mg,O,const,0,,,,309
Mg,P,const,0,,,,6
Mg,S,const,0,,,,14
Mg,Se,const,0,,,,8
Mn,As,const,0,,,,37
Mn,Br,const,0,,,,187
Mn,C,Double,,1.2377,0.2424,-3.6434,81
Mn,C,Single,,1.3207,0.1139,-0.0272,3013
Mn,Cl,const,0,,,,256
Mn,F,const,0,,,,20
Mn,H,const,0,,,,50
Mn,I,const,0,,,,27
Mn,N,Double,,2.0866,0.0369,-3.7842,20
Mn,N,Single,,0.6303,0.1683,-0.0406,845
Mn,N,Triple,,3.1392,0.0427,-4.0719,15
Mn,O,Double,,2.0418,0.0050,-5.2893,5
Mn,O,Single,,0.4632,0.2165,-0.0061,985
Mn,P,Single,,0.9100,0.1653,-0.0028,353
Mn,S,Double,,0.9486,0.0130,-4.1325,6
Mn,S,Single,,0.5577,0.0769,-0.0162,368
Mn,Se,const,0,,,,60
Mn,Si,const,0,,,,7
Mn,Te,const,0,,,,22
Mo,As,Single,,0.6992,0.0492,-0.0155,64
Mo,Br,const,0,,,,185
Mo,C,Double,,1.0872,0.4547,-4.7536,25
Mo,C,Single,,1.1188,0.1428,-0.0199,2843
Mo,C,Triple,,2.2264,0.5056,-4.5067,32
Mo,Cl,const,0,,,,977
Mo,F,const,0,,,,23
Mo,H,const,0,,,,190
Mo,I,const,0,,,,116
Mo,N,Double,,1.9805,0.1394,-2.7521,77
Mo,N,Single,,0.5916,0.2183,-0.1318,1058
Mo,N,Triple,,2.3178,0.5967,-2.8192,72
Mo,O,Double,,1.9806,0.0909,-1.2133,532
Mo,O,Single,,0.7130,0.3022,-0.3551,1255
Mo,P,Single,,0.7680,0.0833,-0.0048,1038
Mo,S,Double,,1.9015,0.1583,-3.2452,51
Mo,S,Single,,0.7258,0.2304,-0.0405,1257
Mo,Se,const,0,,,,101
Mo,Si,const,0,,,,20
Mo,Te,const,0,,,,44
Nb,As,const,0,,,,12
Nb,Br,const,0,,,,51
Nb,C,Double,,1.4531,0.2569,-3.2426,5
Nb,C,Single,,0.8539,0.1224,-0.0480,122
Nb,Cl,const,0,,,,717
Nb,F,const,0,,,,129
Nb,H,const,0,,,,54
Nb,I,const,0,,,,22
Nb,N,Double,,2.0526,0.2319,-1.8206,57
Nb,N,Single,,0.5224,0.1966,-0.1972,289
Nb,N,Triple,,2.2470,0.0050,-4.0719,6
Nb,O,Double,,2.1547,0.1461,-2.2246,24
Nb,O,Single,,0.6445,0.2947,-0.1144,198
Nb,P,const,0,,,,107
Nb,S,Double,,1.6985,0.0798,-2.7150,19
Nb,S,Single,,0.6901,0.3163,-0.0685,268
Nb,Se,const,0,,,,21
Nb,Si,const,0,,,,13
Nb,Te,const,0,,,,5
Ni,As,const,0,,,,9
Ni,Br,const,0,,,,346
Ni,C,Double,,0.7621,0.0710,-2.4108,42
Ni,C,Single,,0.7578,0.2262,-0.0940,426
Ni,Cl,const,0,,,,531
Ni,F,const,0,,,,6
Ni,H,const,0,,,,29
Ni,I,const,0,,,,63
Ni,N,Single,,0.4755,0.2132,-0.0020,2464
Ni,O,Single,,0.4330,0.2171,-0.0006,1711
Ni,P,Single,,0.7631,0.0539,-0.0019,536
Ni,S,const,0,,,,628
Ni,Se,const,0,,,,44
Ni,Si,const,0,,,,22
Os,As,const,0,,,,10
Os,Br,const,0,,,,129
Os,C,Double,,1.4350,0.4551,-2.5917,68
Os,C,Single,,1.1716,0.3097,-0.0983,823
Os,C,Triple,,2.1929,0.3530,-3.9780,17
Os,Cl,const,0,,,,644
Os,F,const,0,,,,75
Os,H,const,0,,,,269
Os,I,const,0,,,,67
Os,N,Double,,1.5028,0.2820,-3.1169,33
Os,N,Single,,0.6267,0.1374,-0.1076,669
Os,N,Triple,,2.8195,0.1690,-2.8522,43
Os,O,Double,,1.8178,0.0283,-0.8670,187
Os,O,Single,,0.5141,0.1698,-0.5451,258
Os,P,Single,,0.8768,0.1130,-0.0029,695
Os,S,const,0,,,,214
Os,Se,const,0,,,,16
Os,Si,const,0,,,,31
Pb,Br,const,0,,,,136
Pb,C,Single,,0.6022,0.0802,-0.0081,245
