M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
Fe,P,Double,,2.1011,0.0111,0.0314,-4.7020,,6
Fe,P,Single,,2.1715,0.0321,0.0314,-0.0091,,655
Fe,P,thr,,,,0.0314,,2.10264|-inf,661
Fe,S,const,0,,,,,,1514
Fe,Se,const,0,,,,,,95
Fe,Si,const,0,,,,,,52
Fe,Te,const,0,,,,,,41
Ga,As,const,0,,,,,,33
Ga,Br,const,0,,,,,,43
Ga,C,Double,,2.1282,0.0999,0.0179,-4.4659,,6
Ga,C,Single,,2.0463,0.0175,0.0179,-0.0116,,516
Ga,C,thr,,,,0.0179,,-inf|-inf,522
Ga,Cl,const,0,,,,,,541
Ga,F,const,0,,,,,,22
Ga,H,const,0,,,,,,43
Ga,I,const,0,,,,,,110
Ga,N,const,0,,,,,,426
Ga,O,const,0,,,,,,244
Ga,P,const,0,,,,,,83
Ga,S,const,0,,,,,,123
Ga,Se,const,0,,,,,,18
Ga,Te,const,0,,,,,,17
Hf,Br,const,0,,,,,,14
Hf,C,const,0,,,,,,128
Hf,Cl,const,0,,,,,,252
Hf,F,const,0,,,,,,65
Hf,I,const,0,,,,,,17
Hf,N,const,0,,,,,,314
Hf,O,const,0,,,,,,164
Hf,P,const,0,,,,,,42
Hf,S,const,0,,,,,,28
Hf,Si,const,0,,,,,,7
In,As,const,0,,,,,,27
In,Br,const,0,,,,,,171
In,C,const,0,,,,,,775
In,Cl,const,0,,,,,,415
In,F,const,0,,,,,,38
In,H,const,0,,,,,,16
In,I,const,0,,,,,,89
In,N,const,0,,,,,,747
In,O,const,0,,,,,,664
In,P,const,0,,,,,,131
In,S,const,0,,,,,,248
In,Se,const,0,,,,,,65
In,Te,const,0,,,,,,10
Ir,Br,const,0,,,,,,27
Ir,C,Double,,1.9711,0.0649,0.1171,-2.2347,,99
Ir,C,Single,,2.0354,0.1411,0.1171,-0.1144,,825
Ir,C,thr,,,,0.1171,,-inf|-inf,925
Ir,Cl,const,0,,,,,,654
Ir,F,const,0,,,,,,7
Ir,H,const,0,,,,,,304
Ir,I,const,0,,,,,,150
Ir,N,Single,,2.0738,0.0934,0.0927,-0.0154,,645
Ir,N,Triple,,1.7724,0.0136,0.0927,-4.6929,,6
Ir,N,thr,,,,0.0927,,1.8366|1.7974,655
Ir,O,const,0,,,,,,221
Ir,P,const,0,,,,,,703
Ir,S,const,0,,,,,,379
Ir,Se,const,0,,,,,,32
Ir,Si,const,0,,,,,,56
La,Cl,const,0,,,,,,67
La,H,const,0,,,,,,15
La,I,const,0,,,,,,14
La,N,const,0,,,,,,233
La,O,const,0,,,,,,976
La,S,const,0,,,,,,36
La,Se,const,0,,,,,,9
Mg,Br,const,0,,,,,,83
Mg,C,const,0,,,,,,74
